"ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0030098","lymphocyte differentiation","20/60","419/18903",9.70960542265997e-19,4.93923406283138e-17,3.03064114336572e-17,"IL4R/JAK3/GPR183/SASH3/CD28/IL12RB1/IL2RA/CTLA4/IL7R/IL4I1/SLAMF1/PTPRC/CARD11/CD27/LEPR/CD2/CR1/ITK/TNFRSF9/CD3D",20
"GO:0002460","adaptive immune response based on somatic recombination of immune receptors built from immunoglobulin superfamily domains","19/60","375/18903",2.77910575748264e-18,1.35481405677279e-16,8.31293915176826e-17,"IL4R/PRKCQ/JAK3/FCGR3A/SASH3/CD274/CD28/CSF2RB/IL21R/IL12RB1/IL7R/IL4I1/SLAMF1/PTPRC/CD27/IL13RA2/CR1/CD226/CD1B",19
"GO:0070665","positive regulation of leukocyte proliferation","15/60","167/18903",3.10221489732231e-18,1.45183657194684e-16,8.90825498936344e-17,"PRKCQ/JAK3/GPR183/FCGR3A/SASH3/CD274/CD28/CSF2RB/IL12RB1/IL2RA/TNFRSF4/SLAMF1/PTPRC/CARD11/CD6",15
"GO:0046631","alpha-beta T cell activation","15/60","174/18903",5.80728713158012e-18,2.61327920921105e-16,1.60346956426625e-16,"IL4R/PRKCQ/JAK3/GPR183/SASH3/CD274/CD28/IL12RB1/IL2RA/LGALS9C/PTPRC/CARD11/CD247/ITK/CD3D",15
"GO:0050671","positive regulation of lymphocyte proliferation","14/60","146/18903",1.82209374091282e-17,7.89573954395557e-16,4.84470928383059e-16,"PRKCQ/JAK3/GPR183/FCGR3A/SASH3/CD274/CD28/IL12RB1/IL2RA/TNFRSF4/SLAMF1/PTPRC/CARD11/CD6",14
"GO:0032946","positive regulation of mononuclear cell proliferation","14/60","149/18903",2.43817870938163e-17,1.01881038927733e-15,6.25127022480554e-16,"PRKCQ/JAK3/GPR183/FCGR3A/SASH3/CD274/CD28/IL12RB1/IL2RA/TNFRSF4/SLAMF1/PTPRC/CARD11/CD6",14
"GO:0045785","positive regulation of cell adhesion","19/60","484/18903",3.13142256900293e-16,1.2633670364598e-14,7.75183372798548e-15,"IL4R/PRKCQ/JAK3/SASH3/CD274/CD28/CD5/IL12RB1/IL2RA/THY1/IL7R/IL4I1/ICOS/SLAMF1/PTPRC/CARD11/CD27/CD6/CR1",19
"GO:0045580","regulation of T cell differentiation","14/60","179/18903",3.30869061913004e-16,1.29038934146072e-14,7.91763860437434e-15,"IL4R/JAK3/SASH3/CD28/IL12RB1/IL2RA/CTLA4/IL7R/IL4I1/PTPRC/CARD11/CD27/CD2/CR1",14
"GO:0002822","regulation of adaptive immune response based on somatic recombination of immune receptors built from immunoglobulin superfamily domains","14/60","182/18903",4.18370100088874e-16,1.57900973259349e-14,9.68857073890024e-15,"IL4R/PRKCQ/JAK3/SASH3/CD274/CD28/IL12RB1/IL7R/IL4I1/SLAMF1/PTPRC/CR1/CD226/CD1B",14
"GO:0002703","regulation of leukocyte mediated immunity","15/60","241/18903",7.88781596079054e-16,2.88398271066404e-14,1.76956923857209e-14,"IL4R/JAK3/SASH3/SERPINB9/CD28/IL12RB1/IL7R/IL4I1/SLAMF1/PTPRC/IL13RA2/SH2D1A/CR1/CD226/CD1B",15
"GO:0002819","regulation of adaptive immune response","14/60","198/18903",1.36892455427295e-15,4.85345978333136e-14,2.97801131104992e-14,"IL4R/PRKCQ/JAK3/SASH3/CD274/CD28/IL12RB1/IL7R/IL4I1/SLAMF1/PTPRC/CR1/CD226/CD1B",14
"GO:0002683","negative regulation of immune system process","18/60","449/18903",1.52758758209383e-15,5.25669844426408e-14,3.225432603678e-14,"IL4R/JAK3/CD274/SERPINB9/IL2RA/CTLA4/THY1/IL7R/IL4I1/SLAMF1/TIGIT/LGALS9C/PTPRC/IL13RA2/SH2D1A/CR1/PDCD1/IDO1",18
"GO:0045619","regulation of lymphocyte differentiation","14/60","210/18903",3.11978840666289e-15,1.0429006959416e-13,6.39908479201231e-14,"IL4R/JAK3/SASH3/CD28/IL12RB1/IL2RA/CTLA4/IL7R/IL4I1/PTPRC/CARD11/CD27/CD2/CR1",14
"GO:0042102","positive regulation of T cell proliferation","11/60","106/18903",2.76168310841876e-14,8.97547010236096e-13,5.50721602322103e-13,"PRKCQ/JAK3/SASH3/CD274/CD28/IL12RB1/IL2RA/SLAMF1/PTPRC/CARD11/CD6",11
"GO:0002697","regulation of immune effector process","16/60","379/18903",3.33673371103334e-14,1.05512930862405e-12,6.47411775512016e-13,"IL4R/JAK3/SASH3/SERPINB9/CD28/IL12RB1/IL7R/IL4I1/TNFRSF4/SLAMF1/PTPRC/IL13RA2/SH2D1A/CR1/CD226/CD1B",16
"GO:2000514","regulation of CD4-positive, alpha-beta T cell activation","10/60","79/18903",5.74304663419486e-14,1.76825383210736e-12,1.08497446108612e-12,"IL4R/PRKCQ/JAK3/SASH3/CD274/CD28/IL12RB1/IL2RA/LGALS9C/CARD11",10
"GO:0035710","CD4-positive, alpha-beta T cell activation","11/60","115/18903",6.91819534694211e-14,2.02357213898057e-12,1.24163400700382e-12,"IL4R/PRKCQ/JAK3/GPR183/SASH3/CD274/CD28/IL12RB1/IL2RA/LGALS9C/CARD11",11
"GO:0046634","regulation of alpha-beta T cell activation","11/60","115/18903",6.91819534694211e-14,2.02357213898057e-12,1.24163400700382e-12,"IL4R/PRKCQ/JAK3/SASH3/CD274/CD28/IL12RB1/IL2RA/LGALS9C/PTPRC/CARD11",11
"GO:0002706","regulation of lymphocyte mediated immunity","12/60","179/18903",3.37937089065431e-13,9.64357059040377e-12,5.9171526249711e-12,"SASH3/SERPINB9/CD28/IL12RB1/IL7R/IL4I1/SLAMF1/PTPRC/SH2D1A/CR1/CD226/CD1B",12
"GO:0001909","leukocyte mediated cytotoxicity","11/60","134/18903",3.81932521972868e-13,1.0639548826387e-11,6.52827017507508e-12,"SLAMF7/FCGR3A/SERPINB9/GZMB/IL12RB1/IL7R/PTPRC/SH2D1A/CD2/CD226/CD1B",11
"GO:0001906","cell killing","12/60","189/18903",6.46733303783659e-13,1.75971619866717e-11,1.07973589517859e-11,"SLAMF7/FCGR3A/SERPINB9/GZMB/IL12RB1/IL7R/PTPRC/SH2D1A/CD2/CD226/GNLY/CD1B",12
"GO:1902105","regulation of leukocyte differentiation","14/60","317/18903",9.05704745111536e-13,2.40835125404658e-11,1.47772879465566e-11,"IL4R/JAK3/SASH3/CD28/IL12RB1/IL2RA/CTLA4/IL7R/IL4I1/PTPRC/CARD11/CD27/CD2/CR1",14
"GO:0002695","negative regulation of leukocyte activation","12/60","198/18903",1.12488784652606e-12,2.92470840096775e-11,1.79455792124157e-11,"IL4R/JAK3/CD274/IL2RA/CTLA4/IL4I1/TIGIT/LGALS9C/PTPRC/IL13RA2/CR1/IDO1",12
"GO:0001819","positive regulation of cytokine production","16/60","486/18903",1.50832197588452e-12,3.8363841560541e-11,2.35394871293648e-11,"IL4R/PRKCQ/FCGR3A/SASH3/CD274/CD28/IL12RB1/SLAMF1/TIGIT/PTPRC/CARD11/CD6/CD2/CD226/ITK/IDO1",16
"GO:1903706","regulation of hemopoiesis","15/60","413/18903",2.0805606673112e-12,5.17926804415767e-11,3.17792245264555e-11,"IL4R/JAK3/SASH3/CD28/IL12RB1/IL2RA/CTLA4/IL7R/IL4I1/PTPRC/CARD11/CD27/CD2/CR1/CSF3R",15
"GO:0050866","negative regulation of cell activation","12/60","221/18903",4.12914763380303e-12,1.00647973573949e-10,6.17561115406505e-11,"IL4R/JAK3/CD274/IL2RA/CTLA4/IL4I1/TIGIT/LGALS9C/PTPRC/IL13RA2/CR1/IDO1",12
"GO:0050868","negative regulation of T cell activation","10/60","128/18903",8.03363357435096e-12,1.91823495550829e-10,1.17700066545808e-10,"IL4R/JAK3/CD274/IL2RA/CTLA4/IL4I1/TIGIT/LGALS9C/CR1/IDO1",10
"GO:0070231","T cell apoptotic process","8/60","57/18903",9.28752131082725e-12,2.17327998673358e-10,1.33349253347035e-10,"PRKCQ/JAK3/CD274/IL2RA/IL7R/CD27/PDCD1/IDO1",8
"GO:0050777","negative regulation of immune response","11/60","190/18903",1.76586503300708e-11,4.05110213454566e-10,2.48569649641038e-10,"IL4R/JAK3/SERPINB9/CTLA4/IL7R/IL4I1/SLAMF1/PTPRC/IL13RA2/CR1/PDCD1",11
"GO:0050852","T cell receptor signaling pathway","10/60","139/18903",1.83697284469135e-11,4.13318890055554e-10,2.53606372485729e-10,"CD28/CTLA4/THY1/PTPRC/CARD11/CD247/SH2D1A/CD226/ITK/CD3D",10
"GO:0002699","positive regulation of immune effector process","12/60","261/18903",2.89907998568586e-11,6.39985581745746e-10,3.92685710077012e-10,"IL4R/SASH3/CD28/IL12RB1/TNFRSF4/SLAMF1/PTPRC/IL13RA2/SH2D1A/CR1/CD226/CD1B",12
"GO:1903038","negative regulation of leukocyte cell-cell adhesion","10/60","147/18903",3.2117128104538e-11,6.95871108931656e-10,4.26976244976509e-10,"IL4R/JAK3/CD274/IL2RA/CTLA4/IL4I1/TIGIT/LGALS9C/CR1/IDO1",10
"GO:0002704","negative regulation of leukocyte mediated immunity","8/60","68/18903",4.04420311996596e-11,8.58707428013288e-10,5.26890207741847e-10,"JAK3/SERPINB9/IL7R/IL4I1/SLAMF1/PTPRC/IL13RA2/CR1",8
"GO:0002768","immune response-regulating cell surface receptor signaling pathway","13/60","341/18903",4.11005264690121e-11,8.58707428013288e-10,5.26890207741847e-10,"PRKCQ/FCGR3A/CD28/CTLA4/THY1/PTPRC/CARD11/CD247/SH2D1A/CR1/CD226/ITK/CD3D",13
"GO:0070232","regulation of T cell apoptotic process","7/60","41/18903",4.67265255210582e-11,9.59123418590141e-10,5.8850397793835e-10,"PRKCQ/JAK3/CD274/IL7R/CD27/PDCD1/IDO1",7
"GO:0035739","CD4-positive, alpha-beta T cell proliferation","6/60","23/18903",7.65606019268697e-11,1.51823566532945e-09,9.31567002928192e-10,"PRKCQ/CD274/CD28/IL2RA/LGALS9C/CARD11",6
"GO:2000561","regulation of CD4-positive, alpha-beta T cell proliferation","6/60","23/18903",7.65606019268697e-11,1.51823566532945e-09,9.31567002928192e-10,"PRKCQ/CD274/CD28/IL2RA/LGALS9C/CARD11",6
"GO:0046640","regulation of alpha-beta T cell proliferation","7/60","44/18903",7.90604519949171e-11,1.54167881390088e-09,9.45951372991815e-10,"PRKCQ/CD274/CD28/IL2RA/LGALS9C/PTPRC/CARD11",7
"GO:0002824","positive regulation of adaptive immune response based on somatic recombination of immune receptors built from immunoglobulin superfamily domains","9/60","114/18903",8.75438514805706e-11,1.67911977429947e-09,1.03028311837358e-09,"PRKCQ/SASH3/CD274/CD28/IL12RB1/SLAMF1/PTPRC/CD226/CD1B",9
"GO:0051250","negative regulation of lymphocyte activation","10/60","166/18903",1.07288091984125e-10,2.02463012292623e-09,1.2422831703425e-09,"IL4R/JAK3/CD274/IL2RA/CTLA4/IL4I1/TIGIT/LGALS9C/CR1/IDO1",10
"GO:0045582","positive regulation of T cell differentiation","9/60","117/18903",1.10733041923446e-10,2.05647077857828e-09,1.26182012684695e-09,"IL4R/SASH3/IL12RB1/IL2RA/IL7R/IL4I1/PTPRC/CD27/CR1",9
"GO:0046633","alpha-beta T cell proliferation","7/60","47/18903",1.28800302466162e-10,2.35463052945952e-09,1.44476655068951e-09,"PRKCQ/CD274/CD28/IL2RA/LGALS9C/PTPRC/CARD11",7
"GO:0002821","positive regulation of adaptive immune response","9/60","120/18903",1.39177284665633e-10,2.50519112398139e-09,1.53714830999128e-09,"PRKCQ/SASH3/CD274/CD28/IL12RB1/SLAMF1/PTPRC/CD226/CD1B",9
"GO:0070227","lymphocyte apoptotic process","8/60","80/18903",1.53993908655168e-10,2.72989201706889e-09,1.67502146256498e-09,"PRKCQ/JAK3/CD274/IL2RA/IL7R/CD27/PDCD1/IDO1",8
"GO:0002698","negative regulation of immune effector process","9/60","122/18903",1.61547048145198e-10,2.82104546761018e-09,1.73095187486292e-09,"IL4R/JAK3/SERPINB9/IL7R/IL4I1/SLAMF1/PTPRC/IL13RA2/CR1",9
"GO:0045621","positive regulation of lymphocyte differentiation","9/60","130/18903",2.85981406648397e-10,4.92056243792095e-09,3.01918450981744e-09,"IL4R/SASH3/IL12RB1/IL2RA/IL7R/IL4I1/PTPRC/CD27/CR1",9
"GO:0002700","regulation of production of molecular mediator of immune response","10/60","187/18903",3.46364973194814e-10,5.8731451976512e-09,3.60367523598571e-09,"IL4R/JAK3/SASH3/CD28/TNFRSF4/SLAMF1/PTPRC/IL13RA2/CR1/CD226",10
"GO:0002823","negative regulation of adaptive immune response based on somatic recombination of immune receptors built from immunoglobulin superfamily domains","7/60","57/18903",5.28308871507002e-10,8.8303054237599e-09,5.41814511831241e-09,"IL4R/JAK3/IL7R/IL4I1/SLAMF1/PTPRC/CR1",7
"GO:0022408","negative regulation of cell-cell adhesion","10/60","202/18903",7.36008727619766e-10,1.21285945255652e-08,7.44192664546598e-09,"IL4R/JAK3/CD274/IL2RA/CTLA4/IL4I1/TIGIT/LGALS9C/CR1/IDO1",10
"GO:0050864","regulation of B cell activation","10/60","204/18903",8.10115096422174e-10,1.31643703168603e-08,8.07746338830297e-09,"GPR183/SASH3/CD28/CTLA4/IL4I1/TNFRSF4/PTPRC/CARD11/CD27/CR1",10
"GO:0042113","B cell activation","12/60","350/18903",8.47946998886007e-10,1.35903834068031e-08,8.33885873453867e-09,"JAK3/GPR183/SASH3/CD28/CTLA4/IL7R/IL4I1/TNFRSF4/PTPRC/CARD11/CD27/CR1",12
"GO:0002820","negative regulation of adaptive immune response","7/60","62/18903",9.70726663280131e-10,1.514333594717e-08,9.29172749974806e-09,"IL4R/JAK3/IL7R/IL4I1/SLAMF1/PTPRC/CR1",7
"GO:0070228","regulation of lymphocyte apoptotic process","7/60","62/18903",9.70726663280131e-10,1.514333594717e-08,9.29172749974806e-09,"PRKCQ/JAK3/CD274/IL7R/CD27/PDCD1/IDO1",7
"GO:0016064","immunoglobulin mediated immune response","10/60","215/18903",1.3493164581726e-09,2.07723717902888e-08,1.27456208375861e-08,"IL4R/FCGR3A/CD28/CSF2RB/IL21R/PTPRC/CD27/IL13RA2/CR1/CD226",10
"GO:0019724","B cell mediated immunity","10/60","218/18903",1.54321576173328e-09,2.34488628730901e-08,1.43878762748065e-08,"IL4R/FCGR3A/CD28/CSF2RB/IL21R/PTPRC/CD27/IL13RA2/CR1/CD226",10
"GO:0070229","negative regulation of lymphocyte apoptotic process","6/60","37/18903",1.70367063569639e-09,2.55550595354459e-08,1.56802074702421e-08,"PRKCQ/JAK3/IL7R/CD27/PDCD1/IDO1",6
"GO:0002366","leukocyte activation involved in immune response","11/60","293/18903",1.79697464056637e-09,2.66134218919324e-08,1.63296029962194e-08,"IL4R/JAK3/GPR183/FCGR3A/CD28/IL12RB1/ITGAL/SLAMF1/PTPRC/IL13RA2/CR1",11
"GO:0002263","cell activation involved in immune response","11/60","297/18903",2.07143714380577e-09,3.02947682281595e-08,1.85884227904676e-08,"IL4R/JAK3/GPR183/FCGR3A/CD28/IL12RB1/ITGAL/SLAMF1/PTPRC/IL13RA2/CR1",11
"GO:0042130","negative regulation of T cell proliferation","7/60","70/18903",2.32010914270249e-09,3.35126876168137e-08,2.05628906474737e-08,"CD274/IL2RA/CTLA4/IL4I1/LGALS9C/CR1/IDO1",7
"GO:0007162","negative regulation of cell adhesion","11/60","308/18903",3.03021608792962e-09,4.32360100350934e-08,2.65289778173043e-08,"IL4R/JAK3/CD274/IL2RA/CTLA4/IL4I1/TIGIT/LGALS9C/PTPRC/CR1/IDO1",11
"GO:0046635","positive regulation of alpha-beta T cell activation","7/60","73/18903",3.13027047934932e-09,4.41254995281771e-08,2.7074755445989e-08,"IL4R/PRKCQ/SASH3/CD28/IL12RB1/PTPRC/CARD11",7
"GO:0071887","leukocyte apoptotic process","8/60","117/18903",3.30838273906624e-09,4.6081045294137e-08,2.82746494742253e-08,"PRKCQ/JAK3/CD274/IL2RA/IL7R/CD27/PDCD1/IDO1",8
"GO:0042267","natural killer cell mediated cytotoxicity","7/60","74/18903",3.44882458394923e-09,4.66257938666931e-08,2.860889916067e-08,"SLAMF7/FCGR3A/SERPINB9/GZMB/SH2D1A/CD2/CD226",7
"GO:0002429","immune response-activating cell surface receptor signaling pathway","11/60","312/18903",3.46704621060026e-09,4.66257938666931e-08,2.860889916067e-08,"CD28/CTLA4/THY1/PTPRC/CARD11/CD247/SH2D1A/CR1/CD226/ITK/CD3D",11
"GO:0002757","immune response-activating signal transduction","11/60","312/18903",3.46704621060026e-09,4.66257938666931e-08,2.860889916067e-08,"CD28/CTLA4/THY1/PTPRC/CARD11/CD247/SH2D1A/CR1/CD226/ITK/CD3D",11
"GO:0002708","positive regulation of lymphocyte mediated immunity","8/60","119/18903",3.78615064451089e-09,4.92199583786416e-08,3.02006402287302e-08,"SASH3/CD28/IL12RB1/SLAMF1/PTPRC/SH2D1A/CD226/CD1B",8
"GO:0032609","interferon-gamma production","8/60","119/18903",3.78615064451089e-09,4.92199583786416e-08,3.02006402287302e-08,"SASH3/CD274/IL12RB1/SLAMF1/LGALS9C/CD2/CR1/CD226",8
"GO:0032649","regulation of interferon-gamma production","8/60","119/18903",3.78615064451089e-09,4.92199583786416e-08,3.02006402287302e-08,"SASH3/CD274/IL12RB1/SLAMF1/LGALS9C/CD2/CR1/CD226",8
"GO:0002637","regulation of immunoglobulin production","7/60","76/18903",4.1691985985237e-09,5.3603981981019e-08,3.28906124256005e-08,"IL4R/SASH3/CD28/TNFRSF4/PTPRC/IL13RA2/CR1",7
"GO:0002228","natural killer cell mediated immunity","7/60","77/18903",4.5748574955081e-09,5.81802529320051e-08,3.56985447589991e-08,"SLAMF7/FCGR3A/SERPINB9/GZMB/SH2D1A/CD2/CD226",7
"GO:2000516","positive regulation of CD4-positive, alpha-beta T cell activation","6/60","45/18903",5.85299955671867e-09,7.36345105522671e-08,4.51810492097581e-08,"IL4R/PRKCQ/SASH3/CD28/IL12RB1/CARD11",6
"GO:1902107","positive regulation of leukocyte differentiation","9/60","184/18903",6.21786304543073e-09,7.59323395690541e-08,4.65909631903688e-08,"IL4R/SASH3/IL12RB1/IL2RA/IL7R/IL4I1/PTPRC/CD27/CR1",9
"GO:1903708","positive regulation of hemopoiesis","9/60","184/18903",6.21786304543073e-09,7.59323395690541e-08,4.65909631903688e-08,"IL4R/SASH3/IL12RB1/IL2RA/IL7R/IL4I1/PTPRC/CD27/CR1",9
"GO:0050851","antigen receptor-mediated signaling pathway","10/60","252/18903",6.23034581079418e-09,7.59323395690541e-08,4.65909631903688e-08,"CD28/CTLA4/THY1/PTPRC/CARD11/CD247/SH2D1A/CD226/ITK/CD3D",10
"GO:0001910","regulation of leukocyte mediated cytotoxicity","7/60","87/18903",1.08463120147487e-08,1.29491684257714e-07,7.94541868319934e-08,"SERPINB9/IL12RB1/IL7R/PTPRC/SH2D1A/CD226/CD1B",7
"GO:0050672","negative regulation of lymphocyte proliferation","7/60","87/18903",1.08463120147487e-08,1.29491684257714e-07,7.94541868319934e-08,"CD274/IL2RA/CTLA4/IL4I1/LGALS9C/CR1/IDO1",7
"GO:0070233","negative regulation of T cell apoptotic process","5/60","24/18903",1.10272579217249e-08,1.30322139074931e-07,7.99637416546132e-08,"PRKCQ/JAK3/IL7R/CD27/IDO1",5
"GO:0032945","negative regulation of mononuclear cell proliferation","7/60","88/18903",1.17547115128148e-08,1.37530124699934e-07,8.43864552814707e-08,"CD274/IL2RA/CTLA4/IL4I1/LGALS9C/CR1/IDO1",7
