ID,Description,GeneRatio,BgRatio,pvalue,padj,qvalue,geneID,Count
GO:0032944,regulation of mononuclear cell proliferation,20/60,243/18903,1.83E-23,1.95E-21,1.19E-21,PRKCQ/JAK3/GPR183/FCGR3A/SASH3/CD274/CD28/IL12RB1/IL2RA/CTLA4/IL4I1/TNFRSF4/SLAMF1/LGALS9C/PTPRC/CARD11/CD6/CR1/IDO1/TNFRSF9,20
GO:0042098,T cell proliferation,19/60,212/18903,5.32E-23,5.19E-21,3.18E-21,SH2D2A/PRKCQ/JAK3/SASH3/CD274/CD28/IL12RB1/IL2RA/CTLA4/IL4I1/TNFRSF4/SLAMF1/LGALS9C/PTPRC/CARD11/CD6/CR1/IDO1/TNFRSF9,19
GO:0051251,positive regulation of lymphocyte activation,22/60,400/18903,5.54E-22,4.98E-20,3.06E-20,IL4R/PRKCQ/JAK3/GPR183/FCGR3A/SASH3/CD274/CD28/CD5/IL12RB1/IL2RA/THY1/IL7R/IL4I1/TNFRSF4/ICOS/SLAMF1/PTPRC/CARD11/CD27/CD6/CR1,22
GO:0050870,positive regulation of T cell activation,19/60,251/18903,1.39E-21,1.16E-19,7.11E-20,IL4R/PRKCQ/JAK3/SASH3/CD274/CD28/CD5/IL12RB1/IL2RA/THY1/IL7R/IL4I1/ICOS/SLAMF1/PTPRC/CARD11/CD27/CD6/CR1,19
GO:0022407,regulation of cell-cell adhesion,23/60,490/18903,1.89E-21,1.47E-19,9.03E-20,IL4R/PRKCQ/JAK3/SASH3/CD274/CD28/CD5/IL12RB1/IL2RA/CTLA4/THY1/IL7R/IL4I1/ICOS/SLAMF1/TIGIT/LGALS9C/PTPRC/CARD11/CD27/CD6/CR1/IDO1,23
GO:0002449,lymphocyte mediated immunity,21/60,367/18903,2.55E-21,1.86E-19,1.14E-19,IL4R/SLAMF7/FCGR3A/SASH3/SERPINB9/CD28/CSF2RB/GZMB/IL21R/IL12RB1/IL7R/IL4I1/SLAMF1/PTPRC/CD27/IL13RA2/SH2D1A/CD2/CR1/CD226/CD1B,21
GO:0042129,regulation of T cell proliferation,17/60,182/18903,6.63E-21,4.56E-19,2.80E-19,PRKCQ/JAK3/SASH3/CD274/CD28/IL12RB1/IL2RA/CTLA4/IL4I1/SLAMF1/LGALS9C/PTPRC/CARD11/CD6/CR1/IDO1/TNFRSF9,17
GO:1903039,positive regulation of leukocyte cell-cell adhesion,19/60,275/18903,7.95E-21,5.17E-19,3.17E-19,IL4R/PRKCQ/JAK3/SASH3/CD274/CD28/CD5/IL12RB1/IL2RA/THY1/IL7R/IL4I1/ICOS/SLAMF1/PTPRC/CARD11/CD27/CD6/CR1,19
GO:0002443,leukocyte mediated immunity,22/60,463/18903,1.33E-20,8.16E-19,5.01E-19,IL4R/SLAMF7/JAK3/FCGR3A/SASH3/SERPINB9/CD28/CSF2RB/GZMB/IL21R/IL12RB1/IL7R/IL4I1/SLAMF1/PTPRC/CD27/IL13RA2/SH2D1A/CD2/CR1/CD226/CD1B,22
GO:0030217,T cell differentiation,19/60,296/18903,3.23E-20,1.89E-18,1.16E-18,IL4R/JAK3/GPR183/SASH3/CD28/IL12RB1/IL2RA/CTLA4/IL7R/IL4I1/PTPRC/CARD11/CD27/LEPR/CD2/CR1/ITK/TNFRSF9/CD3D,19
GO:0022409,positive regulation of cell-cell adhesion,19/60,322/18903,1.59E-19,8.85E-18,5.43E-18,IL4R/PRKCQ/JAK3/SASH3/CD274/CD28/CD5/IL12RB1/IL2RA/THY1/IL7R/IL4I1/ICOS/SLAMF1/PTPRC/CARD11/CD27/CD6/CR1,19
GO:1903131,mononuclear cell differentiation,21/60,473/18903,4.84E-19,2.57E-17,1.58E-17,IL4R/JAK3/GPR183/SASH3/CD28/IL12RB1/IL2RA/CTLA4/IL7R/IL4I1/SLAMF1/BATF3/PTPRC/CARD11/CD27/LEPR/CD2/CR1/ITK/TNFRSF9/CD3D,21
GO:0030098,lymphocyte differentiation,20/60,419/18903,9.71E-19,4.94E-17,3.03E-17,IL4R/JAK3/GPR183/SASH3/CD28/IL12RB1/IL2RA/CTLA4/IL7R/IL4I1/SLAMF1/PTPRC/CARD11/CD27/LEPR/CD2/CR1/ITK/TNFRSF9/CD3D,20
GO:0002460,adaptive immune response based on somatic recombination of immune receptors built from immunoglobulin superfamily domains,19/60,375/18903,2.78E-18,1.35E-16,8.31E-17,IL4R/PRKCQ/JAK3/FCGR3A/SASH3/CD274/CD28/CSF2RB/IL21R/IL12RB1/IL7R/IL4I1/SLAMF1/PTPRC/CD27/IL13RA2/CR1/CD226/CD1B,19
GO:0070665,positive regulation of leukocyte proliferation,15/60,167/18903,3.10E-18,1.45E-16,8.91E-17,PRKCQ/JAK3/GPR183/FCGR3A/SASH3/CD274/CD28/CSF2RB/IL12RB1/IL2RA/TNFRSF4/SLAMF1/PTPRC/CARD11/CD6,15
GO:0046631,alpha-beta T cell activation,15/60,174/18903,5.81E-18,2.61E-16,1.60E-16,IL4R/PRKCQ/JAK3/GPR183/SASH3/CD274/CD28/IL12RB1/IL2RA/LGALS9C/PTPRC/CARD11/CD247/ITK/CD3D,15
GO:0050671,positive regulation of lymphocyte proliferation,14/60,146/18903,1.82E-17,7.90E-16,4.84E-16,PRKCQ/JAK3/GPR183/FCGR3A/SASH3/CD274/CD28/IL12RB1/IL2RA/TNFRSF4/SLAMF1/PTPRC/CARD11/CD6,14
GO:0032946,positive regulation of mononuclear cell proliferation,14/60,149/18903,2.44E-17,1.02E-15,6.25E-16,PRKCQ/JAK3/GPR183/FCGR3A/SASH3/CD274/CD28/IL12RB1/IL2RA/TNFRSF4/SLAMF1/PTPRC/CARD11/CD6,14
GO:0045785,positive regulation of cell adhesion,19/60,484/18903,3.13E-16,1.26E-14,7.75E-15,IL4R/PRKCQ/JAK3/SASH3/CD274/CD28/CD5/IL12RB1/IL2RA/THY1/IL7R/IL4I1/ICOS/SLAMF1/PTPRC/CARD11/CD27/CD6/CR1,19
GO:0045580,regulation of T cell differentiation,14/60,179/18903,3.31E-16,1.29E-14,7.92E-15,IL4R/JAK3/SASH3/CD28/IL12RB1/IL2RA/CTLA4/IL7R/IL4I1/PTPRC/CARD11/CD27/CD2/CR1,14
GO:0002822,regulation of adaptive immune response based on somatic recombination of immune receptors built from immunoglobulin superfamily domains,14/60,182/18903,4.18E-16,1.58E-14,9.69E-15,IL4R/PRKCQ/JAK3/SASH3/CD274/CD28/IL12RB1/IL7R/IL4I1/SLAMF1/PTPRC/CR1/CD226/CD1B,14
GO:0002703,regulation of leukocyte mediated immunity,15/60,241/18903,7.89E-16,2.88E-14,1.77E-14,IL4R/JAK3/SASH3/SERPINB9/CD28/IL12RB1/IL7R/IL4I1/SLAMF1/PTPRC/IL13RA2/SH2D1A/CR1/CD226/CD1B,15
GO:0002819,regulation of adaptive immune response,14/60,198/18903,1.37E-15,4.85E-14,2.98E-14,IL4R/PRKCQ/JAK3/SASH3/CD274/CD28/IL12RB1/IL7R/IL4I1/SLAMF1/PTPRC/CR1/CD226/CD1B,14
GO:0002683,negative regulation of immune system process,18/60,449/18903,1.53E-15,5.26E-14,3.23E-14,IL4R/JAK3/CD274/SERPINB9/IL2RA/CTLA4/THY1/IL7R/IL4I1/SLAMF1/TIGIT/LGALS9C/PTPRC/IL13RA2/SH2D1A/CR1/PDCD1/IDO1,18
GO:0045619,regulation of lymphocyte differentiation,14/60,210/18903,3.12E-15,1.04E-13,6.40E-14,IL4R/JAK3/SASH3/CD28/IL12RB1/IL2RA/CTLA4/IL7R/IL4I1/PTPRC/CARD11/CD27/CD2/CR1,14
GO:0042102,positive regulation of T cell proliferation,'11/60,106/18903,2.76E-14,8.98E-13,5.51E-13,PRKCQ/JAK3/SASH3/CD274/CD28/IL12RB1/IL2RA/SLAMF1/PTPRC/CARD11/CD6,11
GO:0002697,regulation of immune effector process,16/60,379/18903,3.34E-14,1.06E-12,6.47E-13,IL4R/JAK3/SASH3/SERPINB9/CD28/IL12RB1/IL7R/IL4I1/TNFRSF4/SLAMF1/PTPRC/IL13RA2/SH2D1A/CR1/CD226/CD1B,16
GO:2000514,"regulation of CD4-positive, alpha-beta T cell activation",'10/60,79/18903,5.74E-14,1.77E-12,1.08E-12,IL4R/PRKCQ/JAK3/SASH3/CD274/CD28/IL12RB1/IL2RA/LGALS9C/CARD11,10
GO:0035710,"CD4-positive, alpha-beta T cell activation",'11/60,115/18903,6.92E-14,2.02E-12,1.24E-12,IL4R/PRKCQ/JAK3/GPR183/SASH3/CD274/CD28/IL12RB1/IL2RA/LGALS9C/CARD11,11
GO:0046634,regulation of alpha-beta T cell activation,'11/60,115/18903,6.92E-14,2.02E-12,1.24E-12,IL4R/PRKCQ/JAK3/SASH3/CD274/CD28/IL12RB1/IL2RA/LGALS9C/PTPRC/CARD11,11
GO:0002706,regulation of lymphocyte mediated immunity,'12/60,179/18903,3.38E-13,9.64E-12,5.92E-12,SASH3/SERPINB9/CD28/IL12RB1/IL7R/IL4I1/SLAMF1/PTPRC/SH2D1A/CR1/CD226/CD1B,12
GO:0001909,leukocyte mediated cytotoxicity,'11/60,134/18903,3.82E-13,1.06E-11,6.53E-12,SLAMF7/FCGR3A/SERPINB9/GZMB/IL12RB1/IL7R/PTPRC/SH2D1A/CD2/CD226/CD1B,11
GO:0001906,cell killing,'12/60,189/18903,6.47E-13,1.76E-11,1.08E-11,SLAMF7/FCGR3A/SERPINB9/GZMB/IL12RB1/IL7R/PTPRC/SH2D1A/CD2/CD226/GNLY/CD1B,12
GO:1902105,regulation of leukocyte differentiation,14/60,317/18903,9.06E-13,2.41E-11,1.48E-11,IL4R/JAK3/SASH3/CD28/IL12RB1/IL2RA/CTLA4/IL7R/IL4I1/PTPRC/CARD11/CD27/CD2/CR1,14
GO:0002695,negative regulation of leukocyte activation,'12/60,198/18903,1.12E-12,2.92E-11,1.79E-11,IL4R/JAK3/CD274/IL2RA/CTLA4/IL4I1/TIGIT/LGALS9C/PTPRC/IL13RA2/CR1/IDO1,12
GO:0001819,positive regulation of cytokine production,16/60,486/18903,1.51E-12,3.84E-11,2.35E-11,IL4R/PRKCQ/FCGR3A/SASH3/CD274/CD28/IL12RB1/SLAMF1/TIGIT/PTPRC/CARD11/CD6/CD2/CD226/ITK/IDO1,16
GO:1903706,regulation of hemopoiesis,15/60,413/18903,2.08E-12,5.18E-11,3.18E-11,IL4R/JAK3/SASH3/CD28/IL12RB1/IL2RA/CTLA4/IL7R/IL4I1/PTPRC/CARD11/CD27/CD2/CR1/CSF3R,15
GO:0050866,negative regulation of cell activation,'12/60,221/18903,4.13E-12,1.01E-10,6.18E-11,IL4R/JAK3/CD274/IL2RA/CTLA4/IL4I1/TIGIT/LGALS9C/PTPRC/IL13RA2/CR1/IDO1,12
GO:0050868,negative regulation of T cell activation,'10/60,128/18903,8.03E-12,1.92E-10,1.18E-10,IL4R/JAK3/CD274/IL2RA/CTLA4/IL4I1/TIGIT/LGALS9C/CR1/IDO1,10
GO:0070231,T cell apoptotic process,'8/60,57/18903,9.29E-12,2.17E-10,1.33E-10,PRKCQ/JAK3/CD274/IL2RA/IL7R/CD27/PDCD1/IDO1,8
GO:0050777,negative regulation of immune response,'11/60,190/18903,1.77E-11,4.05E-10,2.49E-10,IL4R/JAK3/SERPINB9/CTLA4/IL7R/IL4I1/SLAMF1/PTPRC/IL13RA2/CR1/PDCD1,11
GO:0050852,T cell receptor signaling pathway,'10/60,139/18903,1.84E-11,4.13E-10,2.54E-10,CD28/CTLA4/THY1/PTPRC/CARD11/CD247/SH2D1A/CD226/ITK/CD3D,10
GO:0002699,positive regulation of immune effector process,'12/60,261/18903,2.90E-11,6.40E-10,3.93E-10,IL4R/SASH3/CD28/IL12RB1/TNFRSF4/SLAMF1/PTPRC/IL13RA2/SH2D1A/CR1/CD226/CD1B,12
GO:1903038,negative regulation of leukocyte cell-cell adhesion,'10/60,147/18903,3.21E-11,6.96E-10,4.27E-10,IL4R/JAK3/CD274/IL2RA/CTLA4/IL4I1/TIGIT/LGALS9C/CR1/IDO1,10
GO:0002704,negative regulation of leukocyte mediated immunity,'8/60,68/18903,4.04E-11,8.59E-10,5.27E-10,JAK3/SERPINB9/IL7R/IL4I1/SLAMF1/PTPRC/IL13RA2/CR1,8
GO:0002768,immune response-regulating cell surface receptor signaling pathway,13/60,341/18903,4.11E-11,8.59E-10,5.27E-10,PRKCQ/FCGR3A/CD28/CTLA4/THY1/PTPRC/CARD11/CD247/SH2D1A/CR1/CD226/ITK/CD3D,13
GO:0070232,regulation of T cell apoptotic process,'7/60,41/18903,4.67E-11,9.59E-10,5.89E-10,PRKCQ/JAK3/CD274/IL7R/CD27/PDCD1/IDO1,7
GO:0035739,"CD4-positive, alpha-beta T cell proliferation",'6/60,23/18903,7.66E-11,1.52E-09,9.32E-10,PRKCQ/CD274/CD28/IL2RA/LGALS9C/CARD11,6
GO:2000561,"regulation of CD4-positive, alpha-beta T cell proliferation",'6/60,23/18903,7.66E-11,1.52E-09,9.32E-10,PRKCQ/CD274/CD28/IL2RA/LGALS9C/CARD11,6
GO:0046640,regulation of alpha-beta T cell proliferation,'7/60,44/18903,7.91E-11,1.54E-09,9.46E-10,PRKCQ/CD274/CD28/IL2RA/LGALS9C/PTPRC/CARD11,7
GO:0002824,positive regulation of adaptive immune response based on somatic recombination of immune receptors built from immunoglobulin superfamily domains,'9/60,114/18903,8.75E-11,1.68E-09,1.03E-09,PRKCQ/SASH3/CD274/CD28/IL12RB1/SLAMF1/PTPRC/CD226/CD1B,9
GO:0051250,negative regulation of lymphocyte activation,'10/60,166/18903,1.07E-10,2.02E-09,1.24E-09,IL4R/JAK3/CD274/IL2RA/CTLA4/IL4I1/TIGIT/LGALS9C/CR1/IDO1,10
GO:0045582,positive regulation of T cell differentiation,'9/60,117/18903,1.11E-10,2.06E-09,1.26E-09,IL4R/SASH3/IL12RB1/IL2RA/IL7R/IL4I1/PTPRC/CD27/CR1,9
GO:0046633,alpha-beta T cell proliferation,'7/60,47/18903,1.29E-10,2.35E-09,1.44E-09,PRKCQ/CD274/CD28/IL2RA/LGALS9C/PTPRC/CARD11,7
GO:0002821,positive regulation of adaptive immune response,'9/60,120/18903,1.39E-10,2.51E-09,1.54E-09,PRKCQ/SASH3/CD274/CD28/IL12RB1/SLAMF1/PTPRC/CD226/CD1B,9
GO:0070227,lymphocyte apoptotic process,'8/60,80/18903,1.54E-10,2.73E-09,1.68E-09,PRKCQ/JAK3/CD274/IL2RA/IL7R/CD27/PDCD1/IDO1,8
GO:0002698,negative regulation of immune effector process,'9/60,122/18903,1.62E-10,2.82E-09,1.73E-09,IL4R/JAK3/SERPINB9/IL7R/IL4I1/SLAMF1/PTPRC/IL13RA2/CR1,9
GO:0045621,positive regulation of lymphocyte differentiation,'9/60,130/18903,2.86E-10,4.92E-09,3.02E-09,IL4R/SASH3/IL12RB1/IL2RA/IL7R/IL4I1/PTPRC/CD27/CR1,9
GO:0002700,regulation of production of molecular mediator of immune response,'10/60,187/18903,3.46E-10,5.87E-09,3.60E-09,IL4R/JAK3/SASH3/CD28/TNFRSF4/SLAMF1/PTPRC/IL13RA2/CR1/CD226,10
GO:0002823,negative regulation of adaptive immune response based on somatic recombination of immune receptors built from immunoglobulin superfamily domains,'7/60,57/18903,5.28E-10,8.83E-09,5.42E-09,IL4R/JAK3/IL7R/IL4I1/SLAMF1/PTPRC/CR1,7
GO:0022408,negative regulation of cell-cell adhesion,'10/60,202/18903,7.36E-10,1.21E-08,7.44E-09,IL4R/JAK3/CD274/IL2RA/CTLA4/IL4I1/TIGIT/LGALS9C/CR1/IDO1,10
GO:0050864,regulation of B cell activation,'10/60,204/18903,8.10E-10,1.32E-08,8.08E-09,GPR183/SASH3/CD28/CTLA4/IL4I1/TNFRSF4/PTPRC/CARD11/CD27/CR1,10
GO:0042113,B cell activation,'12/60,350/18903,8.48E-10,1.36E-08,8.34E-09,JAK3/GPR183/SASH3/CD28/CTLA4/IL7R/IL4I1/TNFRSF4/PTPRC/CARD11/CD27/CR1,12
GO:0002820,negative regulation of adaptive immune response,'7/60,62/18903,9.71E-10,1.51E-08,9.29E-09,IL4R/JAK3/IL7R/IL4I1/SLAMF1/PTPRC/CR1,7
GO:0070228,regulation of lymphocyte apoptotic process,'7/60,62/18903,9.71E-10,1.51E-08,9.29E-09,PRKCQ/JAK3/CD274/IL7R/CD27/PDCD1/IDO1,7
GO:0016064,immunoglobulin mediated immune response,'10/60,215/18903,1.35E-09,2.08E-08,1.27E-08,IL4R/FCGR3A/CD28/CSF2RB/IL21R/PTPRC/CD27/IL13RA2/CR1/CD226,10
GO:0019724,B cell mediated immunity,'10/60,218/18903,1.54E-09,2.34E-08,1.44E-08,IL4R/FCGR3A/CD28/CSF2RB/IL21R/PTPRC/CD27/IL13RA2/CR1/CD226,10
GO:0070229,negative regulation of lymphocyte apoptotic process,'6/60,37/18903,1.70E-09,2.56E-08,1.57E-08,PRKCQ/JAK3/IL7R/CD27/PDCD1/IDO1,6
GO:0002366,leukocyte activation involved in immune response,'11/60,293/18903,1.80E-09,2.66E-08,1.63E-08,IL4R/JAK3/GPR183/FCGR3A/CD28/IL12RB1/ITGAL/SLAMF1/PTPRC/IL13RA2/CR1,11
GO:0002263,cell activation involved in immune response,'11/60,297/18903,2.07E-09,3.03E-08,1.86E-08,IL4R/JAK3/GPR183/FCGR3A/CD28/IL12RB1/ITGAL/SLAMF1/PTPRC/IL13RA2/CR1,11
GO:0042130,negative regulation of T cell proliferation,'7/60,70/18903,2.32E-09,3.35E-08,2.06E-08,CD274/IL2RA/CTLA4/IL4I1/LGALS9C/CR1/IDO1,7
GO:0007162,negative regulation of cell adhesion,'11/60,308/18903,3.03E-09,4.32E-08,2.65E-08,IL4R/JAK3/CD274/IL2RA/CTLA4/IL4I1/TIGIT/LGALS9C/PTPRC/CR1/IDO1,11
GO:0046635,positive regulation of alpha-beta T cell activation,'7/60,73/18903,3.13E-09,4.41E-08,2.71E-08,IL4R/PRKCQ/SASH3/CD28/IL12RB1/PTPRC/CARD11,7
GO:0071887,leukocyte apoptotic process,'8/60,117/18903,3.31E-09,4.61E-08,2.83E-08,PRKCQ/JAK3/CD274/IL2RA/IL7R/CD27/PDCD1/IDO1,8
GO:0042267,natural killer cell mediated cytotoxicity,'7/60,74/18903,3.45E-09,4.66E-08,2.86E-08,SLAMF7/FCGR3A/SERPINB9/GZMB/SH2D1A/CD2/CD226,7
GO:0002429,immune response-activating cell surface receptor signaling pathway,'11/60,312/18903,3.47E-09,4.66E-08,2.86E-08,CD28/CTLA4/THY1/PTPRC/CARD11/CD247/SH2D1A/CR1/CD226/ITK/CD3D,11
GO:0002757,immune response-activating signal transduction,'11/60,312/18903,3.47E-09,4.66E-08,2.86E-08,CD28/CTLA4/THY1/PTPRC/CARD11/CD247/SH2D1A/CR1/CD226/ITK/CD3D,11
GO:0002708,positive regulation of lymphocyte mediated immunity,'8/60,119/18903,3.79E-09,4.92E-08,3.02E-08,SASH3/CD28/IL12RB1/SLAMF1/PTPRC/SH2D1A/CD226/CD1B,8
GO:0032609,interferon-gamma production,'8/60,119/18903,3.79E-09,4.92E-08,3.02E-08,SASH3/CD274/IL12RB1/SLAMF1/LGALS9C/CD2/CR1/CD226,8
GO:0032649,regulation of interferon-gamma production,'8/60,119/18903,3.79E-09,4.92E-08,3.02E-08,SASH3/CD274/IL12RB1/SLAMF1/LGALS9C/CD2/CR1/CD226,8
GO:0002637,regulation of immunoglobulin production,'7/60,76/18903,4.17E-09,5.36E-08,3.29E-08,IL4R/SASH3/CD28/TNFRSF4/PTPRC/IL13RA2/CR1,7
GO:0002228,natural killer cell mediated immunity,'7/60,77/18903,4.57E-09,5.82E-08,3.57E-08,SLAMF7/FCGR3A/SERPINB9/GZMB/SH2D1A/CD2/CD226,7
GO:2000516,"positive regulation of CD4-positive, alpha-beta T cell activation",'6/60,45/18903,5.85E-09,7.36E-08,4.52E-08,IL4R/PRKCQ/SASH3/CD28/IL12RB1/CARD11,6
GO:1902107,positive regulation of leukocyte differentiation,'9/60,184/18903,6.22E-09,7.59E-08,4.66E-08,IL4R/SASH3/IL12RB1/IL2RA/IL7R/IL4I1/PTPRC/CD27/CR1,9
GO:1903708,positive regulation of hemopoiesis,'9/60,184/18903,6.22E-09,7.59E-08,4.66E-08,IL4R/SASH3/IL12RB1/IL2RA/IL7R/IL4I1/PTPRC/CD27/CR1,9
GO:0050851,antigen receptor-mediated signaling pathway,'10/60,252/18903,6.23E-09,7.59E-08,4.66E-08,CD28/CTLA4/THY1/PTPRC/CARD11/CD247/SH2D1A/CD226/ITK/CD3D,10
GO:0001910,regulation of leukocyte mediated cytotoxicity,'7/60,87/18903,1.08E-08,1.29E-07,7.95E-08,SERPINB9/IL12RB1/IL7R/PTPRC/SH2D1A/CD226/CD1B,7
GO:0050672,negative regulation of lymphocyte proliferation,'7/60,87/18903,1.08E-08,1.29E-07,7.95E-08,CD274/IL2RA/CTLA4/IL4I1/LGALS9C/CR1/IDO1,7
GO:0070233,negative regulation of T cell apoptotic process,'5/60,24/18903,1.10E-08,1.30E-07,8.00E-08,PRKCQ/JAK3/IL7R/CD27/IDO1,5
GO:0032945,negative regulation of mononuclear cell proliferation,'7/60,88/18903,1.18E-08,1.38E-07,8.44E-08,CD274/IL2RA/CTLA4/IL4I1/LGALS9C/CR1/IDO1,7
GO:0002709,regulation of T cell mediated immunity,'7/60,89/18903,1.27E-08,1.47E-07,9.05E-08,SASH3/IL12RB1/IL7R/IL4I1/SLAMF1/PTPRC/CD1B,7
GO:0002705,positive regulation of leukocyte mediated immunity,'8/60,140/18903,1.37E-08,1.57E-07,9.64E-08,SASH3/CD28/IL12RB1/SLAMF1/PTPRC/SH2D1A/CD226/CD1B,8
GO:2000106,regulation of leukocyte apoptotic process,'7/60,93/18903,1.73E-08,1.95E-07,1.20E-07,PRKCQ/JAK3/CD274/IL7R/CD27/PDCD1/IDO1,7
GO:0002285,lymphocyte activation involved in immune response,'9/60,207/18903,1.74E-08,1.95E-07,1.20E-07,IL4R/JAK3/GPR183/FCGR3A/CD28/IL12RB1/ITGAL/PTPRC/CR1,9
GO:2000107,negative regulation of leukocyte apoptotic process,'6/60,55/18903,2.03E-08,2.27E-07,1.39E-07,PRKCQ/JAK3/IL7R/CD27/PDCD1/IDO1,6
GO:0070664,negative regulation of leukocyte proliferation,'7/60,96/18903,2.16E-08,2.39E-07,1.47E-07,CD274/IL2RA/CTLA4/IL4I1/LGALS9C/CR1/IDO1,7
GO:0002707,negative regulation of lymphocyte mediated immunity,'6/60,56/18903,2.27E-08,2.48E-07,1.52E-07,SERPINB9/IL7R/IL4I1/SLAMF1/PTPRC/CR1,6
GO:0031341,regulation of cell killing,'7/60,102/18903,3.30E-08,3.58E-07,2.20E-07,SERPINB9/IL12RB1/IL7R/PTPRC/SH2D1A/CD226/CD1B,7
GO:0042100,B cell proliferation,'7/60,104/18903,3.78E-08,4.06E-07,2.49E-07,GPR183/SASH3/CTLA4/IL7R/TNFRSF4/PTPRC/CARD11,7
GO:0002253,activation of immune response,'11/60,397/18903,4.16E-08,4.38E-07,2.69E-07,CD28/CTLA4/THY1/PTPRC/CARD11/CD247/SH2D1A/CR1/CD226/ITK/CD3D,11
GO:0019221,cytokine-mediated signaling pathway,'12/60,496/18903,4.16E-08,4.38E-07,2.69E-07,IL4R/JAK3/CSF2RB/IL21R/IL12RB1/IL2RA/IL7R/TNFRSF4/PTPRC/IL13RA2/LEPR/CSF3R,12
GO:0002507,tolerance induction,'5/60,31/18903,4.33E-08,4.53E-07,2.78E-07,CD274/IL2RA/ICOS/PDCD1/IDO1,5
GO:0032623,interleukin-2 production,'6/60,63/18903,4.67E-08,4.79E-07,2.94E-07,PRKCQ/SASH3/CD28/PTPRC/CARD11/CR1,6
GO:0032663,regulation of interleukin-2 production,'6/60,63/18903,4.67E-08,4.79E-07,2.94E-07,PRKCQ/SASH3/CD28/PTPRC/CARD11/CR1,6
GO:0032613,interleukin-10 production,'6/60,65/18903,5.65E-08,5.70E-07,3.50E-07,JAK3/SASH3/CD274/CD28/TIGIT/IDO1,6
